Timestamp,What is your gender?,"If Google Home and the Echo offered identical performance in all ways except for the wake word (the word or phrase you use to wake the device and begin talking to it), which wake word would you prefer?"
1/9/2017 12:04:59,Female,"""Alexa"""
1/9/2017 12:17:58,Female,"""Alexa"""
1/9/2017 14:20:40,Female,"""Alexa"""
1/9/2017 15:44:21,Female,"""Alexa"""
1/9/2017 16:53:39,Female,"""Alexa"""
1/9/2017 21:12:35,Female,"""Alexa"""
1/10/2017 8:51:52,Female,"""Alexa"""
1/10/2017 12:08:17,Female,"""Alexa"""
1/10/2017 12:18:30,Female,"""Alexa"""
1/10/2017 13:00:29,Female,"""Alexa"""
1/11/2017 6:03:57,Female,"""Alexa"""
1/9/2017 10:32:51,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 10:36:33,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 10:45:50,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 10:55:27,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 10:56:05,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 11:03:43,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 11:05:50,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 11:09:56,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 11:17:11,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 11:33:45,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 12:59:33,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 13:15:21,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 15:20:58,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 16:25:21,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 17:26:10,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 18:19:07,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 19:37:30,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 19:43:23,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 19:56:17,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 21:46:02,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 21:50:17,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 22:45:49,Female,"""Ok Google"" or ""Hey Google"""
1/10/2017 0:46:17,Female,"""Ok Google"" or ""Hey Google"""
1/10/2017 15:06:05,Female,"""Ok Google"" or ""Hey Google"""
1/10/2017 20:44:58,Female,"""Ok Google"" or ""Hey Google"""
1/11/2017 2:35:44,Female,"""Ok Google"" or ""Hey Google"""
1/11/2017 5:52:07,Female,"""Ok Google"" or ""Hey Google"""
1/9/2017 10:53:38,Male,"""Alexa"""
1/9/2017 11:17:55,Male,"""Alexa"""
1/9/2017 11:24:10,Male,"""Alexa"""
1/9/2017 11:26:36,Male,"""Alexa"""
1/9/2017 12:03:19,Male,"""Alexa"""
1/9/2017 12:36:53,Male,"""Alexa"""
1/9/2017 17:17:24,Male,"""Alexa"""
1/9/2017 19:43:38,Male,"""Alexa"""
1/9/2017 19:47:03,Male,"""Alexa"""
1/10/2017 2:28:16,Male,"""Alexa"""
1/10/2017 4:56:58,Male,"""Alexa"""
1/10/2017 10:50:42,Male,"""Alexa"""
1/10/2017 19:56:48,Male,"""Alexa"""
1/10/2017 20:03:24,Male,"""Alexa"""
1/9/2017 11:14:47,Male,"""Ok Google"" or ""Hey Google"""
1/9/2017 11:19:00,Male,"""Ok Google"" or ""Hey Google"""
1/9/2017 17:24:54,Male,"""Ok Google"" or ""Hey Google"""
1/9/2017 17:33:31,Male,"""Ok Google"" or ""Hey Google"""
1/9/2017 20:33:40,Male,"""Ok Google"" or ""Hey Google"""
1/10/2017 5:42:58,Male,"""Ok Google"" or ""Hey Google"""
1/10/2017 7:01:05,Male,"""Ok Google"" or ""Hey Google"""
1/10/2017 8:35:44,Male,"""Ok Google"" or ""Hey Google"""
1/10/2017 13:12:15,Male,"""Ok Google"" or ""Hey Google"""
1/10/2017 20:20:58,Male,"""Ok Google"" or ""Hey Google"""
1/11/2017 1:51:35,Male,"""Ok Google"" or ""Hey Google"""
1/9/2017 11:32:47,Other,"""Ok Google"" or ""Hey Google"""
1/9/2017 18:18:44,Other,"""Ok Google"" or ""Hey Google"""
1/9/2017 18:20:36,Other,"""Ok Google"" or ""Hey Google"""
1/10/2017 0:38:57,Other,"""Ok Google"" or ""Hey Google"""